user_id,book_id,rating
2436,3710,2
4191,8186,2
5073,3930,4
142,3273,5
4562,953,4
3373,4684,4
2227,5406,3
4518,8691,2
949,4318,1
435,6446,1
2517,9549,2
890,7301,2
3888,8549,5
2935,6533,4
6968,7313,1
5803,7331,2
2955,4452,1
1444,1608,5
5534,8381,2
4362,1481,2
1922,6655,5
5178,6848,3
3164,2800,1
4025,9612,2
1251,210,4
4227,9401,2
228,3752,3
4380,4390,3
3105,345,3
2472,7798,1
6737,7965,1
6551,7227,1
2308,4747,4
2714,9108,3
5140,5690,1
5478,7519,3
255,3727,4
385,9037,3
1325,4971,1
6479,1496,1
4151,9859,4
4708,9133,4
6631,5811,3
5706,9433,3
5493,5758,4
4030,2520,4
1218,7381,4
5585,7229,5
1384,7283,1
4964,3309,1
4126,8351,4
4140,190,3
1705,3184,1
440,1277,5
1964,4068,1
2949,5273,5
4054,8627,3
4111,6045,4
2943,2449,4
4963,5154,4
5595,6177,4
4958,6128,4
686,2919,2
1035,9812,2
1078,795,1
2104,5548,3
4233,3758,3
4297,3037,1
358,403,1
4815,9412,1
4775,2294,4
5487,8287,1
1934,6025,1
2718,2015,3
2175,2224,1
1809,5615,4
5135,9636,2
2276,764,1
632,5756,5
3958,7071,3
6651,3315,5
2779,7802,5
2774,2768,1
3390,4448,1
4716,2766,1
4267,1027,1
5867,8505,1
5237,4189,3
379,6345,4
3026,9981,2
5654,1308,1
3850,6372,5
595,7307,5
3870,4842,1
2751,9850,5
3221,3109,4
1403,2681,1
6579,8924,5
6414,4527,5
3773,6899,3
4172,5877,4
2189,4620,4
2529,6633,5
5602,4564,4
5970,5586,1
3849,1975,2
6714,4941,3
6993,68,2
6675,3098,2
2414,8734,3
4454,8240,2
4365,213,3
1724,5151,4
610,2288,1
1381,3360,3
1875,8027,5
4702,8449,2
2269,7228,2
5228,2603,3
3206,3128,5
414,1515,1
6377,9075,2
6790,6042,4
2706,3320,1
5428,134,5
1384,4318,1
2699,2285,2
2561,1195,2
617,8603,4
1694,3655,3
4318,2951,3
3732,9775,4
2828,7684,2
3105,9631,5
2546,6057,5
191,432,5
5436,6936,3
186,6842,3
2220,8625,5
4497,8011,2
2861,3302,2
5617,5348,4
4922,9587,1
4754,245,3
4422,2691,1
6834,8186,4
1940,8089,3
2204,2459,4
2371,4387,5
4718,9806,5
4260,9489,5
6974,1906,3
1030,962,1
6041,7271,4
564,7990,2
2226,4601,4
4543,9586,4
4206,3186,3
4704,8115,3
5073,577,4
5921,1189,5
4330,6555,4
1740,8482,5
3201,1575,1
2712,1112,1
2601,5164,4
4143,7496,3
2391,57,1
4146,6170,3
3158,8793,5
760,6772,2
342,7221,5
6123,3487,1
6890,3295,4
5861,3440,2
5772,769,3
6295,548,4
6018,8679,1
5089,3631,3
3657,7674,3
1489,3912,2
3507,9238,2
2137,7807,2
4556,3580,5
3312,5665,5
4935,4780,5
1542,6773,3
1720,3650,3
6238,9525,5
1128,7744,5
6683,8710,2
5435,9306,2
264,9899,5
2472,5604,5
3549,1444,2
1603,4660,1
360,9650,4
3842,3514,4
1288,1080,5
3340,6638,5
4920,8254,1
5539,7226,4
2224,184,4
5528,2169,3
43,9425,5
1293,6048,1
5227,8046,2
6449,2759,3
2927,8418,2
110,8227,4
4884,7442,5
2781,7161,4
4241,3894,1
1472,1460,1
2841,2890,5
371,9089,1
3538,6028,4
3665,2957,4
5773,6121,4
3577,4684,4
2493,6456,5
6548,4005,5
2100,5499,3
5054,5099,1
3130,7747,5
1390,5242,3
2439,5675,2
886,947,3
2291,8732,1
887,4270,3
3606,2787,1
1337,8896,5
3401,7846,3
4795,8813,5
6704,5934,3
6474,6828,4
6506,4263,2
5036,1140,3
1143,8633,4
4991,8806,2
6508,4723,5
3095,1737,5
6214,9365,3
4911,1398,1
5507,5007,5
6499,6269,3
3213,7826,4
5577,6495,5
2053,5671,2
1,271,5
3639,134,2
4594,2323,3
1520,35,3
636,1845,3
5499,5022,4
3405,361,1
4305,9855,2
4873,5865,3
5690,1177,5
5065,1601,5
5115,2760,2
645,1188,1
3205,2210,3
5750,5052,1
4266,9915,4
209,7973,4
5054,4988,4
5324,604,2
5319,7572,5
544,2447,3
6892,4011,1
3192,5857,4
4875,8115,3
1882,926,4
4078,9641,1
2252,434,4
5091,1056,3
